model_a,model_b,layer,metric,boot_mean,ci_low,ci_high,n_boot,boot_sample_size
codegemma_2b,gemma2_2b_it,layer_8,cka,0.9663448284069697,0.9628670632839202,0.9697393774986267,60,240
codegemma_2b,gemma2_2b_it,layer_8,rsa_spearman,0.7911367113374781,0.7655420774119315,0.8134621750984088,60,240
codegemma_2b,gemma3_1b_it,layer_0,cka,0.7147222012281418,0.6624920308589936,0.7590931206941605,60,240
codegemma_2b,gemma3_1b_it,layer_0,rsa_spearman,0.8223742751535232,0.7936825006026851,0.8415410394645586,60,240
codegemma_2b,gemma3_1b_it,layer_10,cka,0.712744818131129,0.6761588722467422,0.7529716089367866,60,240
codegemma_2b,gemma3_1b_it,layer_10,rsa_spearman,0.8556688835711281,0.8349255363130382,0.8750728762823075,60,240
codegemma_2b,gemma3_1b_it,layer_12,cka,0.6908729622761408,0.6578162506222724,0.7285870149731636,60,240
codegemma_2b,gemma3_1b_it,layer_12,rsa_spearman,0.8240424577117557,0.7948761928205353,0.8462143259915079,60,240
codegemma_2b,gemma3_1b_it,layer_2,cka,0.9257709632317225,0.9164509192109108,0.9353075787425041,60,240
codegemma_2b,gemma3_1b_it,layer_2,rsa_spearman,0.8029122470128417,0.7743254213518559,0.8258048738322421,60,240
codegemma_2b,gemma3_1b_it,layer_4,cka,0.9040891110897065,0.8907377928495407,0.9147851571440697,60,240
codegemma_2b,gemma3_1b_it,layer_4,rsa_spearman,0.7390455127442218,0.7127726879007013,0.7781542721911608,60,240
codegemma_2b,gemma3_1b_it,layer_6,cka,0.7291713317235311,0.7013800382614136,0.7591874286532402,60,240
codegemma_2b,gemma3_1b_it,layer_6,rsa_spearman,0.7442961130195374,0.7057821326456812,0.7848862895241644,60,240
codegemma_2b,gemma3_1b_it,layer_8,cka,0.6354522367318471,0.604155319929123,0.6767167061567306,60,240
codegemma_2b,gemma3_1b_it,layer_8,rsa_spearman,0.7921162988254226,0.7624259158175327,0.8179740175694495,60,240
codegemma_2b,gemma3_1b_pt,layer_0,cka,0.7170014788707098,0.664832866191864,0.7621294036507607,60,240
codegemma_2b,gemma3_1b_pt,layer_0,rsa_spearman,0.8192689050783397,0.7880406084423387,0.8379540591709932,60,240
codegemma_2b,gemma3_1b_pt,layer_10,cka,0.63126646677653,0.5934370398521424,0.6631930783390999,60,240
codegemma_2b,gemma3_1b_pt,layer_10,rsa_spearman,0.8071278849580819,0.7875402908644626,0.8262766286344618,60,240
codegemma_2b,gemma3_1b_pt,layer_12,cka,0.6520120739936829,0.6214427933096885,0.6825650840997696,60,240
codegemma_2b,gemma3_1b_pt,layer_12,rsa_spearman,0.7968305786707284,0.7714002021457765,0.8180103394241949,60,240
codegemma_2b,gemma3_1b_pt,layer_2,cka,0.8801679243644078,0.8643866941332817,0.8933924332261085,60,240
codegemma_2b,gemma3_1b_pt,layer_2,rsa_spearman,0.7904843575276892,0.7659729601432013,0.8077627245029646,60,240
codegemma_2b,gemma3_1b_pt,layer_4,cka,0.9339329401652018,0.9241197347640991,0.9403339803218842,60,240
codegemma_2b,gemma3_1b_pt,layer_4,rsa_spearman,0.688260938303694,0.6623813502677414,0.7171893646995078,60,240
codegemma_2b,gemma3_1b_pt,layer_6,cka,0.8440764993429184,0.8310871973633767,0.858097493648529,60,240
codegemma_2b,gemma3_1b_pt,layer_6,rsa_spearman,0.7225457598593198,0.6891329971059611,0.764285217300587,60,240
codegemma_2b,gemma3_1b_pt,layer_8,cka,0.6104723036289215,0.5833754315972328,0.6359269216656684,60,240
codegemma_2b,gemma3_1b_pt,layer_8,rsa_spearman,0.7144059406394665,0.6735315618993679,0.7525086932094572,60,240
codegemma_2b,gemma3_4b_it,layer_0,cka,0.7219937056303024,0.6713969841599464,0.7668146476149559,60,240
codegemma_2b,gemma3_4b_it,layer_0,rsa_spearman,0.8353025389125119,0.8087042275394909,0.8524196889048766,60,240
codegemma_2b,gemma3_4b_it,layer_10,cka,0.5210565889875094,0.4772872798144817,0.5665435299277305,60,240
codegemma_2b,gemma3_4b_it,layer_10,rsa_spearman,0.8485432741850866,0.8277343172048766,0.8676859162792175,60,240
codegemma_2b,gemma3_4b_it,layer_12,cka,0.4754748900731405,0.43145325034856796,0.5272874146699905,60,240
codegemma_2b,gemma3_4b_it,layer_12,rsa_spearman,0.8835131116983787,0.8639599608677802,0.9006055030296385,60,240
codegemma_2b,gemma3_4b_it,layer_2,cka,0.9523937185605367,0.9476979032158852,0.9573626905679703,60,240
codegemma_2b,gemma3_4b_it,layer_2,rsa_spearman,0.7602650130700032,0.729072183880266,0.7935117829002603,60,240
codegemma_2b,gemma3_4b_it,layer_4,cka,0.962255006035169,0.9573353618383408,0.965585021674633,60,240
codegemma_2b,gemma3_4b_it,layer_4,rsa_spearman,0.7082666553980677,0.6715932033933926,0.7365828475887076,60,240
codegemma_2b,gemma3_4b_it,layer_6,cka,0.6081906507412592,0.5555152148008347,0.6540710553526878,60,240
codegemma_2b,gemma3_4b_it,layer_6,rsa_spearman,0.813119533272457,0.7844720277873494,0.8378463906030184,60,240
codegemma_2b,gemma3_4b_it,layer_8,cka,0.5882568289836247,0.5542618945240975,0.6255241423845291,60,240
codegemma_2b,gemma3_4b_it,layer_8,rsa_spearman,0.851868386145741,0.8256858243435428,0.8710153127465928,60,240
codegemma_2b,gemma3_4b_pt,layer_0,cka,0.722585188349088,0.6719481527805329,0.7675008252263069,60,240
