model_a,model_b,layer,metric,boot_mean,ci_low,ci_high,n_boot,boot_sample_size
gemma1_1_2b_it,gemma3_4b_pt,layer_8,rsa_spearman,0.8604723339283347,0.8329617124081653,0.8834405287974839,40,180
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_0,cka,0.8409269154071808,0.8080869287252426,0.8711919188499451,40,180
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_0,rsa_spearman,0.8301844765389512,0.8071235783801465,0.8510520588209409,40,180
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_12,cka,0.9637975201010704,0.9595864906907081,0.967006205022335,40,180
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_12,rsa_spearman,0.8984085512529365,0.8752429428142076,0.9202096446464862,40,180
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_4,cka,0.9533355310559273,0.9471595704555511,0.9595442205667496,40,180
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_4,rsa_spearman,0.647854398684071,0.596318779186069,0.6865052052945642,40,180
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_8,cka,0.9529105708003044,0.947552727162838,0.9577257484197617,40,180
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_8,rsa_spearman,0.8773787306867042,0.8501069723365556,0.9002418723409278,40,180
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_0,cka,0.8415324568748475,0.8091931700706482,0.8714790359139443,40,180
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_0,rsa_spearman,0.8305306386234633,0.8068602216896591,0.8518434991164702,40,180
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_12,cka,0.9069448918104172,0.893452163040638,0.9209139630198478,40,180
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_12,rsa_spearman,0.8568071616260596,0.8053708501970953,0.896271390810103,40,180
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_4,cka,0.9589590698480606,0.9527189433574677,0.9652917459607124,40,180
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_4,rsa_spearman,0.7040226283097226,0.6622857928111424,0.7476035920112934,40,180
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_8,cka,0.9265055686235428,0.9129639342427254,0.9349197596311569,40,180
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_8,rsa_spearman,0.8526343406204855,0.8127203529238025,0.8744157666294214,40,180
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_0,cka,0.8431349650025368,0.8108794242143631,0.8730993464589119,40,180
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_0,rsa_spearman,0.820976216726959,0.7983923162383356,0.8424794189544057,40,180
